player,amount,season,team
Kareem Abdul-Jabbar,"$2,030,000",1985-86,Los Angeles Lakers
Kareem Abdul-Jabbar,"$2,000,000",1987-88,Los Angeles Lakers
Kareem Abdul-Jabbar,"$3,000,000",1988-89,Los Angeles Lakers
Wang Zhizhi,"$465,850",2001-02,Dallas Mavericks
Wang Zhizhi,"$1,900,000",2002-03,Los Angeles Clippers
Wang Zhizhi,"$2,090,000",2003-04,Los Angeles Clippers
Wang Zhizhi,"$530,943",2003-04,Miami Heat
Wang Zhizhi,"$745,046",2004-05,Miami Heat
Jeff Ayres,"$457,588",2009-10,Portland Trail Blazers
Jeff Ayres,"$1,500,000",2011-12,Indiana Pacers
Jeff Ayres,"$1,500,000",2012-13,Indiana Pacers
Jeff Ayres,"$1,750,000",2013-14,San Antonio Spurs
Sun Yue,"$442,114",2008-09,Los Angeles Lakers
A.J. Wynder,"$30,000",1990-91,Boston Celtics
A.J. Wynder,"$130,000",1991-92,Boston Celtics
A.J. Wynder,"$140,000",1992-93,Boston Celtics
Kelenna Azubuike,"$251,657",2006-07,Golden State Warriors
Kelenna Azubuike,"$50,000",2006-07,Houston Rockets
Kelenna Azubuike,"$687,456",2007-08,Golden State Warriors
Kelenna Azubuike,"$2,900,000",2008-09,Golden State Warriors
Kelenna Azubuike,"$3,132,000",2009-10,Golden State Warriors
Kelenna Azubuike,"$3,300,000",2010-11,New York Knicks
Kelenna Azubuike,"$885,120",2012-13,Cleveland Cavaliers
Sasha Vujacic,"$846,840",2004-05,Los Angeles Lakers
Sasha Vujacic,"$910,440",2005-06,Los Angeles Lakers
Sasha Vujacic,"$973,920",2006-07,Los Angeles Lakers
Sasha Vujacic,"$1,756,951",2007-08,Los Angeles Lakers
Sasha Vujacic,"$4,524,887",2008-09,Los Angeles Lakers
Sasha Vujacic,"$5,000,000",2009-10,Los Angeles Lakers
Sasha Vujacic,"$5,475,113",2010-11,New Jersey Nets
Wally Szczerbiak,"$2,011,440",1999-00,Minnesota Timberwolves
Wally Szczerbiak,"$2,162,280",2000-01,Minnesota Timberwolves
Wally Szczerbiak,"$2,313,240",2001-02,Minnesota Timberwolves
Wally Szczerbiak,"$2,933,187",2002-03,Minnesota Timberwolves
Wally Szczerbiak,"$8,000,000",2003-04,Minnesota Timberwolves
Wally Szczerbiak,"$9,000,000",2004-05,Minnesota Timberwolves
Wally Szczerbiak,"$10,000,000",2005-06,Minnesota Timberwolves
Wally Szczerbiak,"$11,775,000",2006-07,Boston Celtics
Wally Szczerbiak,"$12,775,000",2007-08,Cleveland Cavaliers
Wally Szczerbiak,"$13,775,000",2008-09,Cleveland Cavaliers
Anthony Pullard,"$140,000",1992-93,Milwaukee Bucks
